,rally,time,roundscore_A,roundscore_B,player,type,lose_reason,getpoint_player
300,35,00:24:12,20,15,A,長球,,
301,35,00:24:13,20,15,B,殺球,,
302,35,00:24:14,20,15,A,擋小球,,
303,35,00:24:15,20,15,B,撲球,,
304,35,00:24:15,20,15,A,防守回抽,,
305,35,00:24:15,20,15,B,殺球,,
306,35,00:24:16,20,15,A,防守回挑,,
307,35,00:24:17,20,15,B,殺球,,
308,35,00:24:17,20,15,A,擋小球,,
309,35,00:24:18,20,15,B,撲球,對手落地致勝,B
310,36,00:24:44,21,15,B,未知球種,,
311,36,00:24:58,21,15,A,切球,,
312,36,00:25:00,21,15,B,挑球,,
313,36,00:25:01,21,15,A,長球,,
314,36,00:25:02,21,15,B,長球,出界,A
