,roundscore_A,roundscore_B,player,getpoint_player,type,rally,time
172,13,9,A,,挑球,22,00:17:08
173,13,9,B,,切球,22,00:17:09
174,13,9,A,,挑球,22,00:17:10
175,13,9,B,,切球,22,00:17:11
176,13,9,A,,放小球,22,00:17:12
177,13,9,B,,挑球,22,00:17:13
178,13,9,A,,切球,22,00:17:15
179,13,9,B,,放小球,22,00:17:16
180,13,9,A,,推球,22,00:17:17
181,13,9,B,,過度切球,22,00:17:18
182,13,9,A,,放小球,22,00:17:19
183,13,9,B,,推球,22,00:17:20
184,13,9,A,,長球,22,00:17:21
185,13,9,B,,切球,22,00:17:22
186,13,9,A,,放小球,22,00:17:23
187,13,9,B,,放小球,22,00:17:24
188,13,9,A,,推球,22,00:17:25
189,13,9,B,,長球,22,00:17:26
190,13,9,A,,長球,22,00:17:27
191,13,9,B,,長球,22,00:17:29
192,13,9,A,,長球,22,00:17:29
193,13,9,B,A,切球,22,00:17:31
194,13,10,A,,未知球種,23,00:17:58
195,13,10,B,,放小球,23,00:17:59
196,13,10,A,,推球,23,00:18:00
197,13,10,B,,長球,23,00:18:01
198,13,10,A,,殺球,23,00:18:02
199,13,10,B,,防守回抽,23,00:18:02
200,13,10,A,,長球,23,00:18:03
201,13,10,B,,點扣,23,00:18:04
202,13,10,A,,推球,23,00:18:04
203,13,10,B,,長球,23,00:18:05
204,13,10,A,,長球,23,00:18:06
205,13,10,B,,殺球,23,00:18:07
206,13,10,A,,擋小球,23,00:18:08
207,13,10,B,,放小球,23,00:18:09
208,13,10,A,,挑球,23,00:18:10
209,13,10,B,,殺球,23,00:18:12
210,13,10,A,,防守回挑,23,00:18:13
211,13,10,B,,後場抽平球,23,00:18:14
212,13,10,A,,過度切球,23,00:18:14
213,13,10,B,,撲球,23,00:18:15
214,13,10,A,,平球,23,00:18:16
215,13,10,B,B,殺球,23,00:18:17
216,14,10,B,,發長球,24,00:18:52
217,14,10,A,,切球,24,00:18:54
218,14,10,B,,勾球,24,00:18:55
219,14,10,A,,放小球,24,00:18:56
220,14,10,B,,推球,24,00:18:57
221,14,10,A,A,殺球,24,00:18:58
222,15,10,A,,未知球種,25,00:19:20
223,15,10,B,,推球,25,00:19:21
224,15,10,A,,平球,25,00:19:21
225,15,10,B,,擋小球,25,00:19:22
226,15,10,A,,挑球,25,00:19:22
227,15,10,B,,殺球,25,00:19:24
228,15,10,A,,挑球,25,00:19:24
229,15,10,B,,後場抽平球,25,00:19:25
230,15,10,A,,切球,25,00:19:26
231,15,10,B,A,放小球,25,00:19:27
232,16,10,A,,未知球種,26,00:19:48
233,16,10,B,,挑球,26,00:19:49
234,16,10,A,,長球,26,00:19:50
235,16,10,B,A,殺球,26,00:19:51
236,16,11,A,,發短球,27,00:20:10
237,16,11,B,,推球,27,00:20:11
238,16,11,A,,殺球,27,00:20:12
239,16,11,B,,勾球,27,00:20:12
240,16,11,A,,放小球,27,00:20:13
241,16,11,B,,放小球,27,00:20:14
242,16,11,A,B,推球,27,00:20:15
243,17,11,B,,未知球種,28,00:20:54
244,17,11,A,,長球,28,00:20:56
245,17,11,B,A,長球,28,00:20:57
246,18,11,A,,發短球,29,00:21:15
247,18,11,B,,推球,29,00:21:16
248,18,11,A,A,殺球,29,00:21:17
249,19,11,A,,未知球種,30,00:21:35
250,19,11,B,,長球,30,00:21:37
251,19,11,A,,切球,30,00:21:38
252,19,11,B,,推球,30,00:21:39
253,19,11,A,,長球,30,00:21:40
254,19,11,B,,長球,30,00:21:41
255,19,11,A,,長球,30,00:21:42
256,19,11,B,,殺球,30,00:21:44
257,19,11,A,,擋小球,30,00:21:44
258,19,11,B,,勾球,30,00:21:45
259,19,11,A,,挑球,30,00:21:46
260,19,11,B,,切球,30,00:21:48
261,19,11,A,,勾球,30,00:21:49
262,19,11,B,,放小球,30,00:21:49
263,19,11,A,,挑球,30,00:21:50
264,19,11,B,,殺球,30,00:21:52
265,19,11,A,,擋小球,30,00:21:53
266,19,11,B,,推球,30,00:21:54
267,19,11,A,,長球,30,00:21:55
268,19,11,B,,殺球,30,00:21:56
269,19,11,A,,擋小球,30,00:21:56
270,19,11,B,,放小球,30,00:21:57
271,19,11,A,,挑球,30,00:21:58
272,19,11,B,A,切球,30,00:22:00
273,19,12,A,B,未知球種,31,00:22:25
274,20,12,B,,發長球,32,00:22:43
275,20,12,A,,切球,32,00:22:45
276,20,12,B,,放小球,32,00:22:46
277,20,12,A,,挑球,32,00:22:47
278,20,12,B,A,切球,32,00:22:49
279,20,13,A,,發短球,33,00:23:06
280,20,13,B,,推球,33,00:23:07
281,20,13,A,,過度切球,33,00:23:08
282,20,13,B,,放小球,33,00:23:09
283,20,13,A,,挑球,33,00:23:10
284,20,13,B,,長球,33,00:23:12
285,20,13,A,B,殺球,33,00:23:13
286,20,14,B,,發長球,34,00:23:32
287,20,14,A,,長球,34,00:23:34
288,20,14,B,B,長球,34,00:23:35
289,20,15,B,,發長球,35,00:24:00
290,20,15,A,,殺球,35,00:24:02
291,20,15,B,,防守回抽,35,00:24:02
292,20,15,A,,推球,35,00:24:03
293,20,15,B,,後場抽平球,35,00:24:04
294,20,15,A,,推球,35,00:24:05
295,20,15,B,,長球,35,00:24:06
296,20,15,A,,殺球,35,00:24:07
297,20,15,B,,放小球,35,00:24:08
298,20,15,A,,挑球,35,00:24:09
299,20,15,B,,長球,35,00:24:10
300,20,15,A,,長球,35,00:24:12
301,20,15,B,,殺球,35,00:24:13
302,20,15,A,,擋小球,35,00:24:14
303,20,15,B,,撲球,35,00:24:15
304,20,15,A,,防守回抽,35,00:24:15
305,20,15,B,,殺球,35,00:24:15
306,20,15,A,,防守回挑,35,00:24:16
307,20,15,B,,殺球,35,00:24:17
308,20,15,A,,擋小球,35,00:24:17
309,20,15,B,B,撲球,35,00:24:18
310,21,15,B,,未知球種,36,00:24:44
311,21,15,A,,切球,36,00:24:58
312,21,15,B,,挑球,36,00:25:00
313,21,15,A,,長球,36,00:25:01
314,21,15,B,A,長球,36,00:25:02
